total_packets,duration_s,total_bytes,fwd_bytes,bwd_bytes,fwd_packets,bwd_packets,pkt_size_mean,pkt_size_median,pkt_size_std,pkt_size_max,pkt_size_p95,fwd_pkt_size_mean,bwd_pkt_size_mean,iat_mean,iat_median,iat_std,iat_p95,iat_cv,fwd_iat_mean,bwd_iat_mean,bwd_iat_std,bwd_iat_cv,tcp_ratio,udp_ratio,rtp_ratio,tls_ratio,unique_dst_ips,num_flows,mean_bitrate_bps,bitrate_cv,max_bitrate_bps,byte_asymmetry,fwd_bwd_pkt_ratio,fwd_byte_fraction,pps,filename,category,subcategory,app,is_genai,label
5586,444.37307500839233,3525133,3177172,347961,4249,1337,631.0656999641963,429.5,529.0404497857496,1292.0,1292.0,747.7458225464816,260.25504861630515,0.07956545658162799,0.00013303756713867188,1.2482115139021115,0.06567020416259765,15.687857111981042,0.08468899809932529,0.3326145771020901,2.5425690930369043,7.644190207143291,0.0005370569280343716,0.9994629430719656,0.0,0.0005370569280343716,1,16,63373.17752808989,2.6503699436590398,843280.0,0.10951909433924258,3.1780104712041886,0.9012913838995579,12.57051858935086,gemini_2026_02_19_18_01_2026_02_19_18_09.pcapng,genai,audio,gemini,1,GenAI
9978,186.70880508422852,5250352,699023,4551329,2806,7172,526.1928242132692,316.0,501.77013990659657,1292.0,1292.0,249.11724875267285,634.5969046291132,0.01871392253024241,0.0002601146697998047,0.038276917482691075,0.07329645156860345,2.045371162610838,0.06654889630336387,0.02602748753818038,0.06104137159731241,2.3452656161210057,0.0,1.0,0.0,0.0,4,14,224613.98930481283,1.1023496178503835,892664.0,6.51098604766939,0.39124372559955384,0.13313831148844876,53.441507461304255,gemini_2026_02_19_17_45_2026_02_19_17_54.pcapng,genai,audio,gemini,1,GenAI
2968,241.7733609676361,1948156,1823434,124722,1935,1033,656.3867924528302,479.5,578.5138059778369,1292.0,1292.0,942.3431524547804,120.73765730880929,0.08148748263149178,0.004083156585693359,1.1810416494342322,0.19109585285186764,14.493534605495409,0.12500038943344952,0.23425302995267763,1.9959257143122442,8.520383769274826,0.0013477088948787063,0.9986522911051213,0.0,0.0,1,4,64401.85123966942,1.9705229496160506,683464.0,0.06839951432297522,1.8731848983543078,0.9359794595504672,12.275959552042202,gemini_2026_02_16_11_52_2026_02_16_11_56.pcapng,genai,text,gemini,1,GenAI
4385,330.9344890117645,1599613,628138,971475,637,3748,364.79201824401366,126.0,479.4902187286765,1304.0,1304.0,986.0879120879121,259.19823906083246,0.07548688161764702,0.013934969902038574,0.5046009977396329,0.2602784156799316,6.6846183989360775,0.09969483456521663,0.0883198529521656,0.5457410938258305,6.179144049542362,0.7683010262257697,0.23169897377423032,0.0,0.7683010262257697,1,98,38661.3413897281,5.169223125138388,3434440.0,1.5465948565442627,0.169957310565635,0.39268122977245123,13.250356628269458,gemini_2026_02_16_11_57_2026_02_16_12_02.pcapng,genai,text,gemini,1,GenAI
1734,335.1225199699402,1097388,142412,954976,607,1127,632.8650519031141,401.0,571.5265119630669,1304.0,1292.0,234.6161449752883,847.3611357586512,0.1933771032717485,0.0032820701599121094,2.519144124880308,0.22324242591857893,13.027106530498656,0.5528139981499599,0.29755384735696905,3.1507360160934312,10.588792731399504,0.10438292964244521,0.8956170703575548,0.0,0.09976931949250288,7,30,26128.285714285714,3.2254811758160717,843344.0,6.705727045473696,0.5385980479148181,0.12977360787615683,5.174227026448525,gemini_2026_02_20_15_22_2026_02_20_15_28.pcapng,genai,text,gemini,1,GenAI
6035,328.8991479873657,4832811,4240257,592554,3792,2243,800.7971830985915,1292.0,579.1728504338929,1514.0,1292.0,1118.2112341772151,264.1792242532323,0.054507647992602874,0.00018596649169921875,0.9988850820718582,0.06341564655303931,18.325595010216087,0.08675341705507415,0.1466903010188842,1.6359115288261232,11.152145148407078,0.11466445733222867,0.8853355426677714,0.0,0.11168185584092792,1,126,117515.16109422492,8.043084519638171,15222200.0,0.13974483150431682,1.690592955862684,0.8773893702857405,18.349089795245767,gemini_2026_02_25_22_39_2026_02_25_22_44.pcapng,genai,text,gemini,1,GenAI
10000,14.108954906463623,11383428,1156296,10227132,896,9104,1138.3428,1292.0,401.2111918779933,1304.0,1292.0,1290.5089285714287,1123.366871704745,0.0014110365943057928,4.315376281738281e-05,0.02965601458803501,0.0033549547195434602,21.017183188381654,0.0010427440344954336,0.0015499236412681119,0.031098946786392346,20.064825103866344,0.0059,0.9941,0.0,0.0059,1,32,6071161.6,0.8837498901712815,13368112.0,8.844735258100002,0.0984182776801406,0.10157713476116333,708.7697186854556,gemini_2026_02_20_15_13_2026_02_20_15_21.pcapng,genai,text,gemini,1,GenAI
2505,148.78668093681335,1524220,139082,1385138,921,1584,608.4710578842315,262.0,570.2841698591105,1304.0,1292.0,151.01194353963083,874.4558080808081,0.059419601013104374,0.006114482879638672,0.6565906502304939,0.18548629283905024,11.05006831139256,0.16172465319218843,0.09393544401914654,0.826836605454603,8.802179135769792,0.011976047904191617,0.9880239520958084,0.0,0.011976047904191617,8,26,81837.31543624161,1.5473268874319972,620736.0,9.959146402841489,0.5814393939393939,0.09124798257469394,16.836184423415038,gemini_2026_02_16_11_48_2026_02_16_11_51.pcapng,genai,text,gemini,1,GenAI
7234,206.2477629184723,4348130,1067497,3280633,2862,4372,601.0685651092065,275.0,565.7344902052162,1304.0,1304.0,372.9898672257163,750.3735132662397,0.028514829658298393,7.414817810058594e-05,0.42399562931805795,0.057280445098876955,14.869302548846425,0.07206708215742168,0.0471719009492796,0.5487678896380754,11.63336390085539,0.9966823334254907,0.0033176665745092617,0.0,0.9966823334254907,9,55,168043.67149758455,2.731664578190723,2446048.0,3.0732011424856465,0.6546203110704483,0.2455071490502814,35.07431982600232,grok_2026_02_19_18_21_2026_02_19_18_24.pcapng,genai,audio,grok,1,GenAI
9996,237.81478786468506,4638183,3344384,1293799,6260,3736,464.00390156062423,213.0,504.8368193490369,1304.0,1304.0,534.2466453674122,346.30594218415416,0.023793375474205607,0.0002028942108154297,0.24652999539773765,0.059347724914550724,10.361287143347978,0.0358165383891264,0.06361928752148487,0.4101869844430613,6.447525592054721,0.98359343737495,0.01640656262505002,0.0,0.9829931972789115,1,40,155905.31092436975,2.694556140927236,2502888.0,0.38685719104026334,1.6755888650963597,0.7210547751134442,42.032709949423555,grok_2026_02_19_18_11_2026_02_19_18_18.pcapng,genai,audio,grok,1,GenAI
